MLB.com player ID,FanDuel player ID,DraftKings player name & team
592206,24219-13342,Nicholas Castellanos-DET
607188,24219-79259,Jake Faria-TB
571771,24678-13792,Kike Hernandez-LAD
596001,24822-79147,Jakob Junis-KC
571510,24822-63136,Matt Boyd-DET
543776,25071-13144,JB Shuck-MIA
666971,25314-79272,Lourdes Gurriel Jr.-TOR
660670,25388-79756,Ronald Acuna Jr.-ATL
623167,25907-81490,Chris Flexen-NYM
576788,27416-13552,Daniel Butler-BOS
595798,34581-101797,Ruben Alaniz-SEA
642840,34843-101834,Joseph Harvey-NYY
622774,34903-95775,Jose Fernandez-DET
596105,34903-68489,Dwight Smith Jr.-BAL
656582,34903-101910,Connor Joe-LAD
595001,35816-62426,Josh Smith-BOS
605479,35816-104582,Josh Smith-CLE
670712,36572-110404,Mike Brosseau-TB
