Retrosheet player ID,Rotogrinders player name,Team
delmn001,Nick Delmonico,CWS
andet001,Timothy Anderson,CWS
valap001,Patrick Valaika,COL
phamt001,Thomas Pham,STL
pinam001,Manuel Pina,MIL
almoa002,Albert Almora,CHC
duffm001,Matt Duffy,TB
wendj002,Joseph Wendle,TB
bradj001,Jackie Bradley,BOS
marjm001,Michael Marjama,SEA
refsr001,Robert Refsnyder,TB
castn001,Nick Castellanos,DET
taylm002,Michael Taylor,WAS
godlz001,Zachary Godley,ARI
foltm001,Michael Foltynewicz,ATL
toccc001,Carlos Tocci,TEX
garvm001,Mitchell Garver,MIN
taylc001,Christopher Taylor,LAD
herne001,Enrique Hernandez,LAD
gallc001,Cameron Gallagher,KC
suara002,Andrew Suarez,SF
gurry001,Yulieski Gurriel,HOU
blact002,Tyson Blach,SF
szczm001,Matthew Szczur,SD
fielj001,John Field,TB
piven001,Nicholas Pivetta,PHI
shucj001,J.B. Shuck,MIA
velav001,Vincent Velasquez,PHI
gameb001,Benjamin Gamel,SEA
gurrl001,Lourdes Gurriel,TOR
boydm001,Matt Boyd,DET
